epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1743.31,0.65285,0.82964,1.23757,0.58488,0.64525,0.61893,0.49706,0.94013,1.3308,1.75458,0.00091175,0.00091175,0.00091175
43,1784.8,0.68965,0.809,1.31358,0.6487,0.67962,0.69536,0.37103,1.23927,2.10641,1.91899,0.0009035,0.0009035,0.0009035
44,1826.79,0.66546,0.78315,1.24705,0.75814,0.64062,0.65893,0.51307,0.91918,1.06983,1.69913,0.00089525,0.00089525,0.00089525
45,1867.52,0.66885,0.81107,1.26763,0.79172,0.61493,0.69877,0.50984,0.93007,1.15965,1.70811,0.000887,0.000887,0.000887
46,1908.6,0.6636,0.78088,1.24278,0.63687,0.76042,0.71609,0.50588,0.97783,1.15342,1.73966,0.00087875,0.00087875,0.00087875
47,1951.03,0.67321,0.82218,1.26176,0.59697,0.75674,0.69798,0.44,1.21176,1.56695,1.94069,0.0008705,0.0008705,0.0008705
48,1993.3,0.61923,0.75611,1.23173,0.74359,0.70664,0.73595,0.54808,0.93678,1.04827,1.74136,0.00086225,0.00086225,0.00086225
49,2035.41,0.67079,0.74864,1.27342,0.68728,0.7115,0.69159,0.50691,1.00289,1.12932,1.80926,0.000854,0.000854,0.000854
50,2076.71,0.65194,0.75357,1.25477,0.77242,0.68701,0.72171,0.53268,0.90101,1.0912,1.64404,0.00084575,0.00084575,0.00084575
51,2118.01,0.64276,0.72784,1.25707,0.7894,0.68115,0.7439,0.526,0.99117,1.20861,1.68614,0.0008375,0.0008375,0.0008375
52,2158.59,0.65752,0.73346,1.2338,0.76897,0.72789,0.73592,0.52192,0.9304,1.13951,1.71857,0.00082925,0.00082925,0.00082925
53,2199.11,0.64357,0.71022,1.22817,0.72995,0.74198,0.70986,0.5249,0.84651,1.11315,1.60393,0.000821,0.000821,0.000821
54,2239.72,0.62231,0.68335,1.24902,0.67544,0.63222,0.62409,0.49063,0.90114,1.16722,1.71378,0.00081275,0.00081275,0.00081275
55,2280.61,0.62939,0.72522,1.22837,0.69611,0.63958,0.64091,0.49755,0.86242,1.08835,1.72058,0.0008045,0.0008045,0.0008045
56,2321.84,0.58222,0.66195,1.20371,0.83187,0.65745,0.69889,0.48662,0.93852,1.08644,1.79714,0.00079625,0.00079625,0.00079625
57,2363.43,0.61443,0.73923,1.20835,0.87009,0.58839,0.69753,0.4939,0.89328,1.15153,1.81206,0.000788,0.000788,0.000788
58,2403.59,0.60046,0.65158,1.19734,0.87059,0.65859,0.74917,0.52932,0.88883,1.16107,1.78427,0.00077975,0.00077975,0.00077975
59,2444.42,0.5785,0.67725,1.20814,0.70092,0.65636,0.72955,0.54224,0.95032,1.3753,1.83114,0.0007715,0.0007715,0.0007715
60,2485.84,0.61934,0.71644,1.22477,0.85962,0.68772,0.78162,0.57189,0.88823,1.15552,1.64697,0.00076325,0.00076325,0.00076325
61,2528.8,0.58803,0.66373,1.18613,0.90212,0.74233,0.806,0.60126,0.84561,0.92673,1.60358,0.000755,0.000755,0.000755
62,2570.64,0.60697,0.63809,1.194,0.68906,0.80031,0.77791,0.58351,0.85151,0.89376,1.64604,0.00074675,0.00074675,0.00074675
63,2612.13,0.54971,0.61355,1.16714,0.694,0.71909,0.73571,0.55591,0.86827,1.09058,1.69998,0.0007385,0.0007385,0.0007385
64,2653.83,0.56114,0.6118,1.20089,0.79467,0.71481,0.74422,0.55937,0.84893,1.00051,1.61495,0.00073025,0.00073025,0.00073025
65,2695.7,0.5791,0.63436,1.1905,0.71999,0.66142,0.71831,0.53737,0.88377,0.98093,1.62158,0.000722,0.000722,0.000722
66,2736.9,0.58102,0.64746,1.18,0.54361,0.61458,0.6203,0.42814,1.03461,1.25198,1.71523,0.00071375,0.00071375,0.00071375
67,2777.94,0.56425,0.62272,1.18732,0.6256,0.72792,0.68678,0.49447,0.9792,1.16044,1.68038,0.0007055,0.0007055,0.0007055
68,2819.01,0.62463,0.61766,1.21988,0.77122,0.78288,0.78772,0.55879,0.91465,0.98304,1.71336,0.00069725,0.00069725,0.00069725
69,2860.69,0.52119,0.57596,1.17444,0.86341,0.69578,0.77148,0.57571,0.85325,0.9457,1.62827,0.000689,0.000689,0.000689
70,2902.89,0.57306,0.60579,1.17687,0.81035,0.77959,0.80162,0.58961,0.86343,0.90783,1.57105,0.00068075,0.00068075,0.00068075
71,2944.34,0.58875,0.64275,1.18604,0.66818,0.76314,0.72366,0.52493,0.92794,1.07906,1.6775,0.0006725,0.0006725,0.0006725
72,2986.33,0.58,0.61931,1.1972,0.76402,0.65318,0.74323,0.53271,0.87714,1.00509,1.62295,0.00066425,0.00066425,0.00066425
73,3027.98,0.58203,0.60582,1.18873,0.81908,0.67206,0.72168,0.54403,0.88569,0.99243,1.62601,0.000656,0.000656,0.000656
74,3070.5,0.54682,0.53323,1.16211,0.82678,0.70312,0.75207,0.57258,0.863,0.8942,1.62691,0.00064775,0.00064775,0.00064775
75,3111.53,0.5799,0.56413,1.21811,0.81155,0.67188,0.72935,0.55554,0.92387,0.90721,1.72126,0.0006395,0.0006395,0.0006395
76,3153.12,0.57968,0.5892,1.1928,0.90308,0.61933,0.71851,0.55412,0.91536,0.9233,1.71457,0.00063125,0.00063125,0.00063125
77,3194.29,0.56049,0.60527,1.18569,0.69591,0.67662,0.72201,0.54924,0.88959,0.92166,1.60352,0.000623,0.000623,0.000623
78,3236.81,0.55471,0.5751,1.17038,0.75617,0.70501,0.7379,0.55684,0.88409,0.93904,1.58059,0.00061475,0.00061475,0.00061475
79,3278.33,0.56341,0.60256,1.17393,0.74784,0.7804,0.78851,0.59,0.85072,0.86941,1.55524,0.0006065,0.0006065,0.0006065
80,3319.83,0.53459,0.54755,1.17162,0.84395,0.7538,0.78603,0.56685,0.85861,0.83864,1.5745,0.00059825,0.00059825,0.00059825
81,3361.13,0.49837,0.54722,1.13918,0.76341,0.76348,0.76223,0.54924,0.88532,0.83982,1.63376,0.00059,0.00059,0.00059
82,3402.41,0.52501,0.59559,1.1683,0.84663,0.75,0.7511,0.5648,0.88455,0.86491,1.67309,0.00058175,0.00058175,0.00058175
83,3444.54,0.54568,0.58257,1.16128,0.90882,0.68357,0.77984,0.56056,0.85322,0.87001,1.61669,0.0005735,0.0005735,0.0005735
84,3484.32,0.53969,0.59268,1.18666,0.8561,0.71855,0.77078,0.56813,0.83899,0.84761,1.60059,0.00056525,0.00056525,0.00056525
85,3524.33,0.52493,0.53516,1.15729,0.81393,0.72158,0.73065,0.53734,0.92963,0.87814,1.77333,0.000557,0.000557,0.000557
86,3565.33,0.55404,0.57965,1.16933,0.84628,0.74501,0.77519,0.55281,0.91169,0.90685,1.72802,0.00054875,0.00054875,0.00054875
87,3605.71,0.51545,0.52123,1.16104,0.64487,0.7497,0.71045,0.53988,0.88914,0.95683,1.66288,0.0005405,0.0005405,0.0005405
88,3646.69,0.52518,0.54244,1.1422,0.66458,0.63898,0.66136,0.50604,0.87563,0.96571,1.58681,0.00053225,0.00053225,0.00053225
89,3686.89,0.50643,0.51979,1.13391,0.67149,0.67288,0.66556,0.52354,0.89148,0.93975,1.5906,0.000524,0.000524,0.000524
90,3726.31,0.51295,0.50404,1.14391,0.66709,0.69582,0.70721,0.55139,0.86737,0.8874,1.57795,0.00051575,0.00051575,0.00051575
91,3767.23,0.49327,0.49064,1.11112,0.85674,0.69636,0.78118,0.58767,0.84252,0.87595,1.57116,0.0005075,0.0005075,0.0005075
92,3807.19,0.46313,0.46941,1.10802,0.80925,0.73472,0.76026,0.59392,0.80929,0.86289,1.5701,0.00049925,0.00049925,0.00049925
93,3847.41,0.48608,0.5056,1.12432,0.77255,0.69167,0.72209,0.56306,0.81752,0.8794,1.56686,0.000491,0.000491,0.000491
94,3888.81,0.52435,0.51755,1.1563,0.705,0.68125,0.70892,0.56127,0.81216,0.86787,1.58195,0.00048275,0.00048275,0.00048275
95,3930.32,0.48399,0.49913,1.1191,0.69682,0.67333,0.71462,0.54412,0.89286,0.90339,1.64419,0.0004745,0.0004745,0.0004745
96,3972.49,0.50503,0.50104,1.13498,0.77475,0.66583,0.70897,0.56202,0.85137,0.99171,1.618,0.00046625,0.00046625,0.00046625
97,4012.49,0.48694,0.47525,1.12481,0.85902,0.72266,0.77775,0.57243,0.87055,0.93311,1.65944,0.000458,0.000458,0.000458
98,4054.21,0.47219,0.4673,1.1399,0.78872,0.68191,0.73283,0.57922,0.8101,0.95255,1.539,0.00044975,0.00044975,0.00044975
99,4095.5,0.47274,0.50256,1.10418,0.63506,0.77251,0.70281,0.56455,0.81648,0.9234,1.53622,0.0004415,0.0004415,0.0004415
100,4135.51,0.43703,0.42787,1.09778,0.68518,0.80892,0.74415,0.59105,0.82877,0.89521,1.53843,0.00043325,0.00043325,0.00043325
101,4176.53,0.48151,0.50538,1.13613,0.8031,0.72156,0.74485,0.58854,0.83398,0.90636,1.5507,0.000425,0.000425,0.000425
102,4217.89,0.47511,0.44353,1.1256,0.73537,0.72292,0.72894,0.57614,0.82686,0.89703,1.5759,0.00041675,0.00041675,0.00041675
103,4259.89,0.46439,0.47633,1.10342,0.72931,0.66042,0.70992,0.56479,0.85021,0.89229,1.61133,0.0004085,0.0004085,0.0004085
104,4302.11,0.51638,0.50577,1.14105,0.76818,0.7125,0.72266,0.57139,0.82195,0.91776,1.5825,0.00040025,0.00040025,0.00040025
105,4343.22,0.47032,0.46132,1.10972,0.78156,0.7074,0.73151,0.58735,0.81841,0.89441,1.57107,0.000392,0.000392,0.000392
106,4383.41,0.47279,0.48659,1.13542,0.7613,0.7312,0.74693,0.58205,0.8261,0.87245,1.53677,0.00038375,0.00038375,0.00038375
107,4423.39,0.45315,0.45611,1.09138,0.74552,0.71974,0.74432,0.57095,0.81845,0.87219,1.51379,0.0003755,0.0003755,0.0003755
108,4463.73,0.46077,0.4568,1.11643,0.7121,0.70208,0.68491,0.55156,0.81574,0.90253,1.55797,0.00036725,0.00036725,0.00036725
109,4504.32,0.44978,0.44669,1.08349,0.74183,0.65963,0.67337,0.53271,0.83453,0.94732,1.56576,0.000359,0.000359,0.000359
110,4545.2,0.4285,0.43882,1.09111,0.70479,0.65818,0.65129,0.52647,0.88038,0.93184,1.59766,0.00035075,0.00035075,0.00035075
111,4585.99,0.40955,0.42243,1.05034,0.66164,0.69416,0.65552,0.52551,0.8727,0.9435,1.60336,0.0003425,0.0003425,0.0003425
112,4627.89,0.43901,0.41606,1.08515,0.83451,0.70851,0.72856,0.55535,0.84012,0.87943,1.59296,0.00033425,0.00033425,0.00033425
113,4668.53,0.41838,0.42201,1.07598,0.82927,0.71607,0.72404,0.55392,0.84359,0.87513,1.57409,0.000326,0.000326,0.000326
114,4708.5,0.40306,0.41424,1.06256,0.84818,0.74644,0.78679,0.57552,0.84803,0.89729,1.58651,0.00031775,0.00031775,0.00031775
115,4749.38,0.42992,0.4262,1.09377,0.83923,0.74444,0.78019,0.59427,0.83657,0.90106,1.58542,0.0003095,0.0003095,0.0003095
116,4790.29,0.43777,0.42896,1.07515,0.83528,0.75058,0.78795,0.58197,0.8227,0.92373,1.546,0.00030125,0.00030125,0.00030125
117,4830.72,0.44558,0.44388,1.08874,0.93326,0.71499,0.80256,0.58245,0.82943,0.90614,1.57416,0.000293,0.000293,0.000293
118,4871.52,0.42078,0.4197,1.07122,0.86929,0.75676,0.8109,0.5814,0.85961,0.87077,1.65561,0.00028475,0.00028475,0.00028475
119,4912.41,0.43605,0.43583,1.08287,0.8312,0.78125,0.78816,0.59826,0.82366,0.85911,1.62393,0.0002765,0.0002765,0.0002765
120,4954.48,0.41051,0.43861,1.0525,0.86672,0.71965,0.76203,0.60024,0.82915,0.86966,1.59248,0.00026825,0.00026825,0.00026825
121,4995.29,0.432,0.43156,1.09551,0.79214,0.72372,0.74297,0.58872,0.82367,0.88954,1.55815,0.00026,0.00026,0.00026
122,5036.41,0.42102,0.44188,1.05081,0.83582,0.74448,0.7659,0.59266,0.84178,0.85484,1.57699,0.00025175,0.00025175,0.00025175
123,5079.13,0.42088,0.40989,1.08732,0.82791,0.75691,0.77211,0.59643,0.84619,0.83051,1.57456,0.0002435,0.0002435,0.0002435
124,5121.31,0.42445,0.42742,1.07714,0.79605,0.76797,0.78093,0.59473,0.84971,0.81179,1.56893,0.00023525,0.00023525,0.00023525
125,5161.59,0.42285,0.42064,1.09057,0.79255,0.75924,0.78341,0.59341,0.83467,0.81127,1.55015,0.000227,0.000227,0.000227
126,5200.71,0.41801,0.39739,1.07202,0.77076,0.72982,0.76525,0.5875,0.83004,0.83095,1.53637,0.00021875,0.00021875,0.00021875
127,5240.49,0.40265,0.39433,1.06452,0.79053,0.74528,0.77283,0.59475,0.81114,0.86097,1.53504,0.0002105,0.0002105,0.0002105
128,5280.93,0.42165,0.41681,1.09323,0.76244,0.76285,0.75575,0.57579,0.81691,0.85022,1.54199,0.00020225,0.00020225,0.00020225
129,5320.59,0.38772,0.41113,1.06474,0.78642,0.71409,0.74138,0.57883,0.84277,0.84553,1.5535,0.000194,0.000194,0.000194
130,5360.92,0.39011,0.38698,1.05365,0.7708,0.74274,0.74025,0.58039,0.84569,0.85015,1.55846,0.00018575,0.00018575,0.00018575
131,5400.79,0.38201,0.36475,1.04346,0.77569,0.73304,0.72713,0.56617,0.85281,0.84173,1.58968,0.0001775,0.0001775,0.0001775
132,5441,0.38387,0.38877,1.06643,0.76836,0.73573,0.72413,0.57202,0.83808,0.83053,1.59169,0.00016925,0.00016925,0.00016925
133,5480.8,0.3945,0.38723,1.04906,0.76954,0.73818,0.71887,0.5726,0.82617,0.8287,1.59793,0.000161,0.000161,0.000161
134,5519.59,0.39002,0.40111,1.0561,0.78998,0.75179,0.72996,0.57786,0.82449,0.80844,1.58026,0.00015275,0.00015275,0.00015275
135,5558.93,0.38561,0.38043,1.04837,0.88449,0.74139,0.78235,0.57154,0.83573,0.83286,1.54646,0.0001445,0.0001445,0.0001445
