epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0581,1.03675,3.21675,1.67159,0.31772,0.60771,0.48616,0.39427,0.97789,3.53437,1.99283,0.000125,0.000125,0.000125
2,22.1269,0.87967,1.77508,1.5047,0.63763,0.48742,0.464,0.33093,1.12561,6.70537,2.49066,0.000260768,0.000260768,0.000260768
3,33.1167,0.91937,1.36256,1.4915,0.525,0.42083,0.44534,0.28274,1.23178,6.50587,2.7971,0.00039472,0.00039472,0.00039472
4,43.7668,0.96766,1.35077,1.52152,0.56396,0.41563,0.37493,0.27291,1.19576,3.73284,2.45102,0.000526857,0.000526857,0.000526857
5,54.4974,0.95972,1.42803,1.49677,0.10143,0.27396,0.08701,0.03929,2.46538,24.7023,4.42674,0.00065718,0.00065718,0.00065718
6,65.3855,0.97553,1.21522,1.55522,0.52829,0.26856,0.22993,0.09765,2.40937,6.29906,3.66949,0.000785687,0.000785687,0.000785687
7,76.0331,0.99064,1.32473,1.53525,0.00744,0.34375,0.00858,0.00298,2.84891,inf,37.3725,0.00091238,0.00091238,0.00091238
8,87.1922,0.97628,1.24458,1.56272,0,0,0,0,nan,nan,nan,0.00103726,0.00103726,0.00103726
9,97.9541,1.04152,1.19634,1.57296,0.25297,0.04688,0.00097,0.0002,4.38958,50.7521,7.47021,0.00116032,0.00116032,0.00116032
10,108.726,1.06102,1.21595,1.56998,0,0,0,0,4.12753,5.898,8.438,0.00117575,0.00117575,0.00117575
11,119.591,0.97259,1.13957,1.53138,0.00659,0.05208,0.00307,0.00146,nan,nan,nan,0.0011675,0.0011675,0.0011675
12,130.552,0.94866,1.17308,1.49493,0,0,0,0,nan,nan,nan,0.00115925,0.00115925,0.00115925
13,141.625,1.05271,1.32202,1.60058,0.05896,0.08854,0.0312,0.00719,nan,nan,nan,0.001151,0.001151,0.001151
14,152.341,0.99702,1.20848,1.54835,0.64558,0.37762,0.37399,0.20376,1.88157,3.1804,3.54576,0.00114275,0.00114275,0.00114275
15,163.093,1.04209,1.24731,1.58522,0.17955,0.42869,0.18979,0.13321,1.68001,4.66836,3.08322,0.0011345,0.0011345,0.0011345
16,173.959,0.94515,1.20315,1.48672,0.36666,0.32708,0.07839,0.03365,2.30765,62.5807,4.94712,0.00112625,0.00112625,0.00112625
17,184.903,0.94532,1.10449,1.52831,0.08309,0.14896,0.02818,0.00999,3.38252,23.2589,8.15232,0.001118,0.001118,0.001118
18,195.998,0.86084,1.01685,1.44448,0.12681,0.21042,0.05404,0.02627,nan,nan,nan,0.00110975,0.00110975,0.00110975
19,206.856,0.92484,1.14819,1.46823,0.45446,0.43854,0.39705,0.23082,1.90786,2.45295,3.51875,0.0011015,0.0011015,0.0011015
20,217.675,0.89807,1.02611,1.46409,0.53587,0.47813,0.49176,0.30549,1.62923,2.03231,3.11798,0.00109325,0.00109325,0.00109325
21,228.439,0.90331,0.98804,1.47749,0.56413,0.60478,0.6268,0.34498,1.6542,1.56613,2.95017,0.001085,0.001085,0.001085
22,239.443,0.92504,1.0306,1.48147,0.29305,0.18542,0.16198,0.05947,3.47051,3.83718,4.54753,0.00107675,0.00107675,0.00107675
23,250.416,0.85947,0.99142,1.45198,0.42421,0.34876,0.34328,0.21473,1.94546,1.87042,2.67232,0.0010685,0.0010685,0.0010685
24,261.185,0.93169,1.06612,1.50716,0.38753,0.47813,0.44604,0.26304,1.85898,1.94433,2.94443,0.00106025,0.00106025,0.00106025
25,272.033,0.92865,1.10594,1.47733,0.39936,0.61297,0.54772,0.39659,1.2465,1.40557,2.22977,0.001052,0.001052,0.001052
26,283.269,0.91982,1.06242,1.50932,0.70346,0.45694,0.46296,0.29117,1.44057,1.91299,2.63614,0.00104375,0.00104375,0.00104375
27,294.325,0.89344,1.0597,1.48234,0.84482,0.51875,0.64556,0.3949,1.48494,1.58763,2.40378,0.0010355,0.0010355,0.0010355
28,309.924,0.92413,1.02493,1.46269,0.53287,0.68646,0.62631,0.42506,1.26982,1.51391,2.0987,0.00102725,0.00102725,0.00102725
29,321.286,0.86533,0.9395,1.44218,0.53824,0.52912,0.52778,0.36877,1.2239,1.7415,2.03476,0.001019,0.001019,0.001019
30,332.597,0.8643,1.07867,1.42251,0.3645,0.525,0.43186,0.25366,2.02524,2.22329,2.74484,0.00101075,0.00101075,0.00101075
31,343.602,0.87421,0.96282,1.44466,0.64637,0.56146,0.58264,0.32612,1.74864,1.61978,2.37581,0.0010025,0.0010025,0.0010025
32,354.477,0.87499,0.94655,1.42355,0.5568,0.66979,0.62832,0.30188,1.67506,1.92247,2.2966,0.00099425,0.00099425,0.00099425
33,365.329,0.88028,0.9696,1.43826,0.77117,0.61771,0.68862,0.49569,1.06144,1.13354,1.8639,0.000986,0.000986,0.000986
34,380.131,0.89293,0.95747,1.44724,0.9164,0.49765,0.66175,0.49341,1.02952,1.16872,1.89173,0.00097775,0.00097775,0.00097775
35,391.002,0.85499,0.92697,1.44982,0.59788,0.67093,0.6822,0.50503,0.99462,1.07433,1.80612,0.0009695,0.0009695,0.0009695
36,407.855,0.85194,0.91039,1.42181,0.51965,0.69063,0.61474,0.44788,1.15592,1.05959,1.95432,0.00096125,0.00096125,0.00096125
37,418.816,0.77635,0.83235,1.40113,0.71178,0.67041,0.73384,0.53075,1.02118,1.05712,1.86018,0.000953,0.000953,0.000953
38,430.659,0.83674,0.88961,1.42207,0.8113,0.66563,0.74146,0.53876,1.03684,0.91218,1.96489,0.00094475,0.00094475,0.00094475
39,446.486,0.85218,0.90865,1.41755,0.70127,0.65949,0.71721,0.52551,0.97057,1.04288,1.85265,0.0009365,0.0009365,0.0009365
40,457.537,0.92085,0.97007,1.45222,0.79939,0.68229,0.70458,0.4668,1.2317,1.23566,2.06764,0.00092825,0.00092825,0.00092825
41,468.802,0.75326,0.87628,1.33788,0.87898,0.58363,0.69838,0.45951,1.10107,1.20935,1.94943,0.00092,0.00092,0.00092
