epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.4869,0.93415,3.18214,1.54571,0.00433,0.89583,0.20808,0.15172,0.87754,3.84699,1.818,0.000406977,0.000406977,0.000406977
2,98.7807,0.84175,2.87402,1.46973,0.00402,0.91667,0.28513,0.20522,0.98176,3.6938,1.91105,0.000818207,0.000818207,0.000818207
3,147.076,0.89699,2.60749,1.47507,0.21992,0.37836,0.25746,0.18096,1.15648,3.28534,2.16144,0.00122394,0.00122394,0.00122394
4,194.696,0.95014,2.36815,1.5354,0.74091,0.42508,0.50606,0.35575,1.28671,3.38672,2.15627,0.00122525,0.00122525,0.00122525
5,242.469,1.00875,2.21106,1.6062,0.3522,0.53923,0.46104,0.30641,1.35789,5.67311,2.30575,0.001217,0.001217,0.001217
6,290.597,0.97043,2.14907,1.5553,0.54598,0.44062,0.4226,0.30018,1.17128,4.61998,2.08953,0.00120875,0.00120875,0.00120875
