epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1117,1.03662,2.76147,1.6159,0.11045,0.32917,0.09162,0.04931,2.09897,257.272,2.79345,0.000406977,0.000406977,0.000406977
2,26.5387,1.17435,2.22536,1.75573,0.14289,0.20312,0.1266,0.0268,3.05226,4.11316,4.69778,0.000818207,0.000818207,0.000818207
3,38.7366,1.3104,2.08987,1.8149,0.01144,0.20833,0.00813,0.00185,3.2372,119.883,4.18012,0.00122394,0.00122394,0.00122394
